Entry	Organism	Gene Names	Protein names	EC number
Q99278	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MED11 YMR112C YM9718.11C	Mediator of RNA polymerase II transcription subunit 11 (Mediator complex subunit 11)	
Q99287	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SEY1 YOR165W O3590	Protein SEY1 (EC 3.6.5.-) (Synthetic enhancer of YOP1 protein)	3.6.5.-
Q99299	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	AIM44 YPL158C P2570	Altered inheritance of mitochondria protein 44	
Q99312	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ISN1 YOR155C O3548	IMP-specific 5'-nucleotidase 1 (EC 3.1.3.99)	3.1.3.99
Q99314	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SAS5 YOR213C	Something about silencing protein 5	
Q99315	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TY3B-G YGRWTy3-1 POL YGR109W-B G5984	Transposon Ty3-G Gag-Pol polyprotein (Gag3-Pol3) (Transposon Ty3-1 TYA-TYB polyprotein) [Cleaved into: Capsid protein (CA) (p24); Spacer peptide p3; Nucleocapsid protein p11 (NC); Ty3 protease (PR) (EC 3.4.23.-) (p16); Spacer peptide J; Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (p55); Integrase p61 (IN); Integrase p58 (IN)]	2.7.7.49; 2.7.7.7; 3.1.26.4; 3.4.23.-
Q99321	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	DDP1 YOR163W O3575	Diphosphoinositol polyphosphate phosphohydrolase DDP1 (EC 3.6.1.52) (Diadenosine 5',5'''-P1,P6-hexaphosphate hydrolase) (Ap6A hydrolase) (Diadenosine and diphosphoinositol polyphosphate phosphohydrolase 1) (Diadenosine hexaphosphate hydrolase (AMP-forming)) (EC 3.6.1.60) (Endopolyphosphatase) (EC 3.6.1.10)	3.6.1.10; 3.6.1.52; 3.6.1.60
Q99325	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ATG40 YOR152C O3536	Autophagy-related protein 40	
Q99337	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TY1B-NL2 YNLWTy1-2 POL YNL054W-B N2453	Transposon Ty1-NL2 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	2.7.7.49; 2.7.7.7; 3.1.26.4; 3.4.23.-
Q99380	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	OST4 YDL232W	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST4 (Oligosaccharyl transferase subunit OST4) (Oligosaccharyl transferase 4 kDa subunit) (OTase 4 kDa subunit)	
Q99383	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	HRP1 NAB4 NAB5 YOL123W	Nuclear polyadenylated RNA-binding protein 4 (Cleavage factor IB) (CFIB) (Heterogeneous nuclear ribonucleoprotein 1)	
Q99385	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	VCX1 HUM1 MNR1 YDL128W	Vacuolar calcium ion transporter (High copy number undoes manganese protein 1) (Manganese resistance 1 protein) (Vacuolar Ca(2+)/H(+) exchanger)	
Q99394	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TRS33 YOR115C O3251 YOR3251C	Trafficking protein particle complex subunit 33 (TRAPP subunit 33) (Transport protein particle 33 kDa subunit)	
Q9ZZW7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	BI3 Q0115	Cytochrome b mRNA maturase bI3	
Q9ZZX1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	AI5_ALPHA I-SCEIV Q0070	Intron-encoded DNA endonuclease aI5 alpha (DNA endonuclease I-SceIV) [Cleaved into: Truncated non-functional cytochrome oxidase 1; DNA endonuclease aI5 alpha (EC 3.1.-.-) (Intron-encoded endonuclease I-SceIV)]	3.1.-.-
D6W196	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SAL1 YNL083W N2312	Truncated non-functional calcium-binding mitochondrial carrier SAL1-1 (Suppressor of AAC2 lethality)	
O13525	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	COQ4 YDR204W YD8142.01	Ubiquinone biosynthesis protein COQ4, mitochondrial (Coenzyme Q biosynthesis protein 4)	
O13539	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	THP2 YHR167W	THO complex subunit THP2	
O13559	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	YRF1-4 YLR466W	Y' element ATP-dependent helicase protein 1 copy 4 (EC 3.6.4.12)	3.6.4.12
O13577	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	DIF1 YLR437C	Damage-regulated import facilitator 1	
O14455	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPL36B RPL39B YPL249C-A YPL249BC	Large ribosomal subunit protein eL36B (60S ribosomal protein L36-B) (L39) (YL39)	
O14464	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RTC6 TAE4 YPL183W-A YPL183BW	Large ribosomal subunit protein bL36m (54S ribosomal protein RTC6, mitochondrial) (Restriction of telomere capping protein 6) (Translation associated element 4)	
O75012	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MRP10 YDL045W-A	Small ribosomal subunit protein mS37 (37S ribosomal protein MRP10, mitochondrial) (YmS-T)	
P00425	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	COX5B YIL111W	Cytochrome c oxidase subunit 5B, mitochondrial (Cytochrome c oxidase polypeptide Vb)	
P00427	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	COX6 YHR051W	Cytochrome c oxidase subunit 6, mitochondrial (Cytochrome c oxidase polypeptide VI)	
P00447	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SOD2 YHR008C	Superoxide dismutase [Mn], mitochondrial (EC 1.15.1.1)	1.15.1.1
P00856	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ATP8 AAP1 Q0080	ATP synthase protein 8 (A6L) (ATP-associated protein 1) (F-ATPase subunit 8)	
P00899	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TRP2 YER090W	Anthranilate synthase component 1 (EC 4.1.3.27) (Anthranilate synthase component I)	4.1.3.27
P00931	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TRP5 YGL026C	Tryptophan synthase (EC 4.2.1.20)	4.2.1.20
P01098	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	STF1 AIS2 YDL130W-A YDL130BW	F(1)-ATPase inhibitor STF1, mitochondrial (9 kDa ATPase inhibitor complex-stabilizing factor) (9K) (Stabilizing factor 1)	
P01149	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MF(ALPHA)1 MF-ALPHA-1 MFAL1 YPL187W	Mating factor alpha-1 (Alpha-1 mating pheromone) [Cleaved into: Mating factor alpha]	
P02381	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	VAR1 Q0140	Small ribosomal subunit protein uS3m (Ribosomal protein VAR1, mitochondrial)	
P03872	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	REP2 R0040C	Partitioning protein REP2 (R2) (Protein Charlie) (Trans-acting factor C)	
P03882	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SCEI OMEGA SECY Q0160	Intron-encoded endonuclease I-SceI (EC 3.1.-.-) (21S rRNA intron maturase) (Homing endonuclease omega)	3.1.-.-
P04046	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ADE4 YMR300C YM9952.02C	Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase)	2.4.2.14
P04076	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ARG4 YHR018C	Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase)	4.3.2.1
P04161	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ADE8 YDR408C D9509.26	Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)	2.1.2.2
P04173	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	LEU2 YCL018W YCL18W	3-isopropylmalate dehydrogenase (3-IPM-DH) (IMDH) (EC 1.1.1.85) (Beta-IPM dehydrogenase)	1.1.1.85
P04449	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPL24A RP29 RPL30A YGL031C	Large ribosomal subunit protein eL24A (60S ribosomal protein L24-A) (L30) (RP29) (YL21)	
P04650	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPL39 RPL46 SPB2 YJL189W J0360	Large ribosomal subunit protein eL39 (60S ribosomal protein L39) (L46) (YL40)	
P04803	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MSW1 MSW YDR268W D9954.7	Tryptophan--tRNA ligase, mitochondrial (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS)	6.1.1.2
P05085	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ARG81 ARGR2 YML099C	Arginine metabolism regulation protein II (Arginine-requiring protein 81)	
P05316	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	FUR4 YBR021W YBR0303	Uracil permease	
P05694	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MET6 YER091C	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Delta-P8 protein) (Methionine synthase, vitamin-B12 independent isozyme)	2.1.1.14
P05738	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPL9A RPL8A RPL9 YGL147C	Large ribosomal subunit protein uL6A (60S ribosomal protein L9-A) (L8) (RP24) (YL11)	
P05743	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPL26A RPL26 RPL33A YLR344W L8300.4	Large ribosomal subunit protein uL24A (60S ribosomal protein L26-A) (L33) (YL33)	
P05747	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPL29 YL43 YFR032C-A YFR032BW	Large ribosomal subunit protein eL29 (60S ribosomal protein L29) (YL43)	
P05749	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPL22A YLR061W L2168	Large ribosomal subunit protein eL22A (60S ribosomal protein L22-A) (L1c) (RP4) (YL31)	
P06182	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CYC3 YAL039C	Holocytochrome-c synthase (EC 4.4.1.17) (Cytochrome c heme lyase) (CCHL)	4.4.1.17
P06633	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	HIS3 YOR202W	Imidazoleglycerol-phosphate dehydratase (IGPD) (EC 4.2.1.19)	4.2.1.19
P06773	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	DCD1 YHR144C	Deoxycytidylate deaminase (EC 3.5.4.12) (dCMP deaminase)	3.5.4.12
P06775	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	HIP1 YGR191W G7572	Histidine permease	
P06776	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PDE2 SRA5 YOR360C	3',5'-cyclic-nucleotide phosphodiesterase 2 (PDEase 2) (EC 3.1.4.53) (High-affinity cAMP phosphodiesterase)	3.1.4.53
P06783	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	STE3 YKL178C	Pheromone a factor receptor	
P07253	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CBP6 YBR120C YBR0916	Cytochrome B pre-mRNA-processing protein 6	
P07258	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CPA1 YOR303W	Carbamoyl-phosphate synthase arginine-specific small chain (CPS-A) (EC 6.3.5.5) (Arginine-specific carbamoyl-phosphate synthetase, glutamine chain)	6.3.5.5
P07262	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	GDH1 DHE4 URE1 YOR375C	NADP-specific glutamate dehydrogenase 1 (NADP-GDH 1) (EC 1.4.1.4) (NADP-dependent glutamate dehydrogenase 1)	1.4.1.4
P07266	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MRS1 PET157 YIR021W	Mitochondrial RNA-splicing protein MRS1	
P07272	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PPR1 YLR014C	Pyrimidine pathway regulatory protein 1	
P07275	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PUT2 YHR037W	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial (P5C dehydrogenase) (EC 1.2.1.88) (L-glutamate gamma-semialdehyde dehydrogenase)	1.2.1.88
P07284	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SES1 SERS YDR023W YD9813.01	Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser) synthetase)	6.1.1.11
P07285	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TRP4 YDR354W D9476.4	Anthranilate phosphoribosyltransferase (PRtransferase) (EC 2.4.2.18)	2.4.2.18
P07806	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	VAS1 YGR094W	Valine--tRNA ligase, mitochondrial (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS)	6.1.1.9
P07807	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	DFR1 YOR236W O5231	Dihydrofolate reductase (EC 1.5.1.3)	1.5.1.3
P08431	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	GAL7 YBR018C YBR0226	Galactose-1-phosphate uridylyltransferase (Gal-1-P uridylyltransferase) (EC 2.7.7.12) (UDP-glucose--hexose-1-phosphate uridylyltransferase)	2.7.7.12
P08456	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CHO1 PSS PSS1 YER026C	CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8) (Phosphatidylserine synthase)	2.7.8.8
P08465	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MET2 YNL277W N0615	Homoserine O-acetyltransferase (EC 2.3.1.31) (Homoserine O-trans-acetylase)	2.3.1.31
P09368	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PUT1 YLR142W L3170 L9606.2	Proline dehydrogenase, mitochondrial (EC 1.5.5.2) (Proline oxidase)	1.5.5.2
P09435	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SSA3 YBL075C YBL06.07 YBL0610	Heat shock protein SSA3	
P09457	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ATP5 OSCP YDR298C D9740.11	ATP synthase subunit 5, mitochondrial (ATP synthase chain 5) (Oligomycin sensitivity conferral protein) (OSCP)	
P0C074	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	YSF3 RCP10 YNL138W-A	RDS3 complex subunit 10 (Splicing factor 3b subunit)	
P0C0W1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPS22A RPS24 RPS24A YJL190C J0355	Small ribosomal subunit protein uS8A (40S ribosomal protein S22-A) (RP50) (S24) (YP58) (YS22)	
P0C2H6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPL27A RPL27 YHR010W	Large ribosomal subunit protein eL27A (60S ribosomal protein L27-A)	
P0C2H8	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPL31A RPL34 RPL34A YDL075W D2478	Large ribosomal subunit protein eL31A (60S ribosomal protein L31-A) (L34) (YL28)	
P0C2H9	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPL31B RPL34 RPL34B YLR406C	Large ribosomal subunit protein eL31B (60S ribosomal protein L31-B) (L34) (YL28)	
P0CD90	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	AQY2 AQY2-2 YLL052C L0590	Aquaporin-like protein 2 (Truncated aquaporin-2)	
P0CD99	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MPH2 YDL247W	Alpha-glucosides permease MPH2 (Maltose transport protein 2)	
P0CE00	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MPH3 YJR160C J2400	Alpha-glucosides permease MPH3 (Maltose transport protein 3)	
P0CE68	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	NFT1 YKR103W	ABC transporter NFT1 (New full-length MRP-type transporter 1)	
P0CH63	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	DDI2 YFL061W	Cyanamide hydratase DDI2 (CAH) (EC 4.2.1.69) (DNA damage-inducible protein 2)	4.2.1.69
P0CH64	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	DDI3 YNL335W N0280	Cyanamide hydratase DDI3 (CAH) (EC 4.2.1.69) (DNA damage-inducible protein 3)	4.2.1.69
P0CW40	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	IMA3 YIL172C	Oligo-1,6-glucosidase IMA3 (EC 3.2.1.10) (Alpha-glucosidase) (Isomaltase 3)	3.2.1.10
P0CW41	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	IMA4 FSP2 YJL221C HRE589 J0218	Oligo-1,6-glucosidase IMA4 (EC 3.2.1.10) (Alpha-glucosidase) (Flocculent-specific protein 2) (Isomaltase 4)	3.2.1.10
P0CX08	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	DSF1 MAN1 YEL070W	Mannitol dehydrogenase DSF1 (EC 1.1.1.67) (Deletion suppressor of MPT5 mutation protein 1)	1.1.1.67
P0CX14	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	YRF1-3 YGR296W	Y' element ATP-dependent helicase protein 1 copy 3 (EC 3.6.4.12)	3.6.4.12
P0CX15	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	YRF1-7 YPL283C	Y' element ATP-dependent helicase protein 1 copy 7 (EC 3.6.4.12)	3.6.4.12
P0CX20	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	YRF1-1 YDR545W D3703.4	Y' element ATP-dependent helicase protein 1 copy 1 (EC 3.6.4.12)	3.6.4.12
P0CX21	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	YRF1-5 YLR467W L9040	Y' element ATP-dependent helicase protein 1 copy 5 (EC 3.6.4.12)	3.6.4.12
P0CX23	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPL20A RPL18A RPL18A2 YMR242C YM9408.04C	Large ribosomal subunit protein eL20A (60S ribosomal protein L20-A) (L18a)	
P0CX25	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPL43A YPR043W YP9499.02	Large ribosomal subunit protein eL43A (60S ribosomal protein L43-A) (L37a) (YL35)	
P0CX26	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPL43B YJR094W-A YJR094BW	Large ribosomal subunit protein eL43B (60S ribosomal protein L43-B) (L37a) (YL35)	
P0CX33	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPS30A YLR287C-A L8003.23 YLR287BC	Small ribosomal subunit protein eS30A (40S ribosomal protein S30-A)	
P0CX34	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPS30B YOR182C	Small ribosomal subunit protein eS30B (40S ribosomal protein S30-B)	
P0CX52	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPS16B YDL083C	Small ribosomal subunit protein uS9B (40S ribosomal protein S16-B) (RP61R)	
P0CX86	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPL41A RPL47A YL41A YDL184C D1290	Large ribosomal subunit protein eL41A (60S ribosomal protein L41-A) (L47) (YL41)	
P0CX87	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPL41B RPL47B YL41B YDL133C-A YDL133BC	Large ribosomal subunit protein eL41B (60S ribosomal protein L41-B) (L47) (YL41)	
P10355	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PET122 YER153C	Protein PET122, mitochondrial	
P10566	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MRS3 YJL133W J0675	Mitochondrial RNA-splicing protein MRS3	
P10834	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PET54 YGR222W G8527	Protein PET54 (Petite colonies protein 54)	
P10849	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MTF2 NAM1 YDL044C D2705	Mitochondrial transcription factor 2 (Protein NAM1)	
P10869	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	HOM3 YER052C	Aspartokinase (EC 2.7.2.4) (Aspartate kinase)	2.7.2.4
P10963	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PCK1 PEPC PPC1 YKR097W	Phosphoenolpyruvate carboxykinase (ATP) (EC 4.1.1.49)	4.1.1.49
P11927	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	KAR1 YNL188W N1611	Cell division control protein KAR1	
P12612	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TCP1 CCT1 YDR212W YD8142.13 YD8142B.04	T-complex protein 1 subunit alpha (TCP-1-alpha) (CCT-alpha)	
P12685	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TRK1 YJL129C J0693	High-affinity potassium transport protein	
P12686	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MRP13 YGR084C	Small ribosomal subunit protein mS27 (37S ribosomal protein MRP13, mitochondrial) (Small ribosomal subunit protein mS44) (YmS-A)	
P12687	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MRP7 MRPL2 YNL005C N2007	Large ribosomal subunit protein bL27m (54S ribosomal protein L2, mitochondrial) (YMR6) (YmL2)	
P12887	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UNG1 YML021C	Uracil-DNA glycosylase (UDG) (EC 3.2.2.27)	3.2.2.27
P13045	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	GAL3 YDR009W YD8119.14	Protein GAL3	
P13090	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ATR1 SNQ1 YML116W YM8339.03	Aminotriazole resistance protein	
P13181	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	GAL2 IMP1 YLR081W L9449.6	Galactose transporter (Galactose permease)	
P13188	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	GLN4 YOR168W O3601	Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS)	6.1.1.18
P13298	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	URA5 PYR5 YML106W YM8339.13	Orotate phosphoribosyltransferase 1 (OPRT 1) (OPRTase 1) (EC 2.4.2.10)	2.4.2.10
P13434	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	HAP3 YBL021C YBL0441	Transcriptional activator HAP3 (UAS2 regulatory protein A)	
P13483	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	DAT1 DAT YML113W YM8339.06	Oligo(A)/oligo(T)-binding protein (Datin)	
P13711	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	POX1 FOX1 YGL205W	Acyl-coenzyme A oxidase (Acyl-CoA oxidase) (EC 1.3.3.6)	1.3.3.6
P13902	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	INO4 YOL108C HRF151	Protein INO4	
P14063	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MRPL31 YKL138C	Large ribosomal subunit protein mL60 (54S ribosomal protein L31, mitochondrial) (YmL31)	
P14066	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CBS1 YDL069C	Cytochrome b translational activator protein CBS1, mitochondrial (COB-specific translational activator protein CBS1)	
P14359	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SNA3 YJL151C J0630	Protein SNA3	
P14843	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ARO3 YDR035W YD9673.07	Phospho-2-dehydro-3-deoxyheptonate aldolase, phenylalanine-inhibited (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	2.5.1.54
P15179	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MSD1 YPL104W LPG5W	Aspartate--tRNA ligase, mitochondrial (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)	6.1.1.12
P15365	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	DAL5 UREP1 YJR152W J2230	Allantoate permease	
P15380	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PUT4 YOR348C O6345	Proline-specific permease	
P16965	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	STF2 YGR008C G3858	ATPase-stabilizing factor 15 kDa protein (15 kDa ATPase inhibitor complex-stabilizing factor) (15K) (Hydrophilin STF2) (Stabilizing factor 2)	
P17121	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SAC7 YDR389W	GTPase-activating protein SAC7	
P17261	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ERS1 YCR075C YCR75C	Cystine transporter (ERD suppressor) (Transmembrane protein ERS1)	
P17423	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	THR1 YHR025W	Homoserine kinase (HK) (HSK) (EC 2.7.1.39)	2.7.1.39
P17536	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TPM1 YNL079C N2332	Tropomyosin-1	
